year,prod-in-mil-barrels-per-day
1950,10.42
1951,11.73
1952,12.34
1953,13.15
1954,13.74
1955,15.41
1956,16.78
1957,17.64
1958,18.10
1959,19.54
1960,21.03
1961,22.43
1962,24.33
1963,26.13
1964,28.25
1965,31.81
1966,34.57
1967,37.12
1968,40.44
1969,43.64
1970,48.06
1971,50.85
1972,53.67
1973,58.47
1974,58.62
1975,55.83
1976,60.41
1977,62.71
1978,63.33
1979,66.05
1980,62.95
1981,59.53
1982,57.30
1983,56.60
1984,57.69
1985,57.47
1986,60.46
1987,60.78
1988,63.15
1989,64.04
1990,65.46
1991,65.27
1992,65.77
1993,66.03
1994,67.10
1995,68.10
1996,69.90
1997,72.18
1998,73.54
1999,72.32
2000,74.82
2001,74.81
2002,74.53
2003,76.92
2004,80.37
2005,81.26
2006,81.56
2007,81.45
2008,81.99
2009,79.95
